"port_ids","npl","ii","roi","sr","mdd","wintrade","winrate","total_position","weighted_score","rank","duration_in_seconds"
"3995532094997545000","-12346.6822186","111016513287.29485","-0.000011121482609211977","-0.0642475306679587","-14186.535463309989","1295","21.401421252685505","6051","0.0674295393216968","147","2756649"
"3996598927198996500","3509.04461888","99178270.9731304","0.0035381183644859","0.1134011861044538","-160.68430589999957","980","36.8282600526118","2661","0.1606549524344323","95","2805043"
"3999240873283311600","42574.47367879","20981943.18098329","0.2029100608630797","0.2275053343074468","-300.81384848999915","2366","52.32198142414861","4522","0.3050248535769614","9","2603131"
"3999845462424248300","5843.152606810001","912773509.6143275","0.0006401536137128","0.2259346608054279","-325.7692295799984","1443","43.49005424954792","3318","0.2172879758758379","45","2614291"
"4000222729738650600","1803.62013328","1169042477.735273","0.0001542818304407","0.248085598559921","-151.8992973999999","537","56.05427974947808","958","0.248132712733359","26","2591162"
"4000877324693234000","-836.1005588599955","53904863.36277871","-0.0015510670219736","-0.0023272441536932","-14682.679015479996","2714","44.8595041322314","6050","0.1432200043399255","111","213968"
"4002413037164645400","3686.9697606","76412991.82268111","0.0048250561490325","0.1257825271320604","-38.33630992999997","107","18.57638888888889","576","0.1159338990311713","132","2459198"
"4004410127575641000","2905.76386668","155382873.7138424","0.0018700670139692","0.1890782355470021","-486.26961987","175","34.51676528599605","507","0.1720259019208292","84","2019029"
"4006366295148391400","3018.5418057","1330241.7323271297","0.2269167875540449","0.0909782766339547","-688.05580089","117","17.180616740088105","681","0.0964140192628133","140","1960145"
"4008537296438700000","2330.84564531","5083495502.603619","0.00004585123846605566","0.1075723401213426","-543.7563162","249","46.54205607476635","535","0.1686500788502979","88","1467216"
"4008711265867865600","11298.70638977","38687409389.04901","0.00002920512530613706","0.2662895922745798","-509.5499999999993","166","42.13197969543147","394","0.2322522389270552","37","2084163"
"4008804082027255000","3332.73345887","65471116914.041504","0.000005090387358513557","0.0386943296956773","-4879.948659969999","527","54.05128205128205","975","0.1822578817601125","75","2062676"
"4011626972687000600","5483.14982082","1008970133.8049376","0.0005434402503216","0.0772567153210332","-1133.2432568999998","2326","38.408190224570674","6056","0.1375054454375082","115","669314"
"4012994295026226000","2500.33664614","152168604.81830332","0.0016431356843453","0.2150000501919282","-216.8208998599997","251","40.03189792663477","627","0.1897199057039801","69","1681178"
"4013955990069013500","1690.02704985","1139247.2167921946","0.1483459450187334","0.2292833045791447","-347.85864704999995","236","65.92178770949721","358","0.2586856117764412","24","1763632"
"4014818740371615000","2013.64751009","13091533595.378525","0.00001538129582313292","0.1911128490456647","-94.40199994","111","20.982986767485823","529","0.1331000111840977","118","1674071"
"4016164457907769300","3742.68731972","26219478322.479218","0.000014274453799911097","0.1575441690504528","-647.83756662","310","43.53932584269663","712","0.182268448299818","74","1646849"
"4017110277719148500","2899.93302141","3228222097.7095947","0.00008983065395244912","0.3940256972777863","0","143","56.74603174603175","252","0.2891669886479116","14","1492987"
"4017263283405469000","7141.36641939","61294158949.26616","0.000011650973831455923","0.0300901179180771","-4788.433923359992","2034","33.6198347107438","6050","0.1282510869591941","124","1367323"
"4017323550554339000","3134.7351025000003","4351825.915331484","0.0720326401719408","0.2132083276743788","0","273","50.091743119266056","545","0.2137546557902478","48","1571050"
"4019895412775450600","2640.30025492","133661510.56905702","0.0019753631719999","0.2847008949882411","0","242","42.38178633975482","571","0.2159362811016408","47","1423337"
"4020204877254599700","71998.85595307","641868964060.779","0.00001121706453877592","0.0607480336148458","-21338.05118777996","1993","32.94214876033058","6050","0.2903345740871434","13","1313299"
"4021243448368890000","1498.1937578999998","24514708.272061005","0.0061114076548382","0.0947070259920028","-490.49299994","2290","37.85123966942149","6050","0.1295980602828244","122","288591"
"4021669203289716000","26427.33159178","124854746983.2584","0.000021166461212182507","0.068250742370722","-2537.8666286099924","528","31.39120095124852","1682","0.1639347905384248","89","1320630"
"4022565861939832000","14197.577075890002","199488541025.11047","0.00000711698877686558","0.2996023677573177","-385.0755536900001","372","52.76595744680851","705","0.2666346647922448","22","1261695"
"4022641794255718000","2176.83382376","307613.0790902308","0.7076532084389946","0.558737617842421","-115.99559387999987","2634","43.52280237937872","6052","0.3050007255461741","10","974607"
"4023616625178800000","2087.7711930100004","245179862.2620918","0.0008515263748611","0.2533442845310676","-3.088799999999992","339","40.991535671100365","827","0.198691716902368","58","1178369"
"4027747397961574000","2638.2194499600005","5023407278.252137","0.00005251852584960923","0.0897602287477114","-483.90628998","207","45","460","0.1542423764477741","102","949745"
"4028701921959172000","17601.40139824","143737646925.54727","0.000012245505457145203","0.2757238783298312","-585.6775999300007","373","54.29403202328966","687","0.2654685595295109","23","896479"
"4029749871687083500","3662.13654822","485202.2795043601","0.7547649100001995","0.3538772369515233","0","367","42.873831775700936","856","0.2316053935150856","38","345624"
"4030626027667524600","3796.34803991","4216264837.263544","0.0000900405497860974","0.2104459132290347","-670.8059999999987","116","49.78540772532189","233","0.2070310021088252","51","775804"
"4030635536196757000","2581.61417484","8673131500.016949","0.000029765652404036018","0.0904992312981278","-47.18678624999996","679","52.47295208655333","1294","0.1703539441889159","86","782848"
"4031493134338259500","9082.698287860005","50341683450.32483","0.00001804210281688821","0.1561139933963422","-3682.1097992","683","36.156696664902064","1889","0.1710624147748192","85","732082"
"4032403303704824300","2060.57051952","1353857438.4155293","0.0001521999629393","0.1078336484680013","-1104.51520996","123","55.15695067264574","223","0.1830235608558022","73","647353"
"4033614723417828400","4602.2398164900005","28318196561.73086","0.000016251881741330433","0.1087862941774191","-647.2944777400007","115","22.28682170542636","516","0.1043951015292805","137","597675"
"4034359562055356400","5284.65441593","71543648055.32205","0.000007386615806680103","0.1574186681669259","-1659.353950150005","391","48.93617021276596","799","0.1901564199796289","68","559224"
"4034786679304751600","2521.07586938","80274.0640534485","3.1405858157391955","0.2082177791965694","0","123","38.31775700934579","321","0.1721504591983991","83","516541"
"4037121179310445000","7237.92173826","9739431794.361992","0.00007431564685785799","0.1091016779336913","-1198.3317800000032","772","48.40125391849529","1595","0.1736095467400286","81","398959"
"4037282461943784400","4760.365619499999","3300810382.6405363","0.0001442180879136","0.1198250414948842","-1680.7088622099998","136","26.984126984126984","504","0.1203677606998772","128","382838"
"4037511388357114400","3552.34051692","2237747872.9853177","0.0001587462358831","0.0881238849981655","-635.45101241","413","43.33683105981112","953","0.1458128444807871","106","364274"
"4037717032428034000","1897.3229995","266482.64249419904","0.7119874606997348","0.2221109411055395","0","102","32.17665615141956","317","0.1578615199864044","98","325870"
"4039279455324237000","1038.8074192600002","49881.520258878","2.082549637358159","0.4716836338542198","0","181","55.35168195718655","327","0.2963336621325417","11","227738"
